stockID,symbol,status,samples,bestModel,bestMode,accuracy,actionPrecision,actionRecall,actionRate,flatRate,directionAccuracyOnRealMoves,gateActionProb,gateFlatEdge,gateDirectionEdge
1,KONYA.IS,ok,2043,gradient_boosting,gated,50.1,38.89,5.43,7.05,92.95,5.43,0.45,0.15,0.0
2,THYAO.IS,ok,2043,gradient_boosting,gated,47.16,36.52,15.61,22.5,77.5,15.61,0.4,0.15,0.15
3,TUPRS.IS,ok,2043,logistic_balanced,gated,45.21,33.77,9.49,15.07,84.93,9.49,0.45,0.1,0.0
4,EREGL.IS,ok,2048,gradient_boosting,direct,44.34,35.64,24.91,39.45,60.55,24.91,,,
5,SISE.IS,ok,2043,random_forest_balanced,gated,46.58,39.64,15.94,21.72,78.28,15.94,0.4,-0.1,0.0
6,ASELS.IS,ok,2047,gradient_boosting,gated,48.44,53.06,9.39,9.57,90.43,9.39,0.5,0.15,0.0
7,FROTO.IS,ok,2048,logistic_balanced,gated,43.75,42.86,31.48,43.75,56.25,31.48,0.4,-0.1,0.0
8,KRDMD.IS,ok,2047,gradient_boosting,gated,40.62,40.35,21.43,33.4,66.6,21.43,0.4,-0.1,0.0
9,DOFER.IS,ok,489,logistic_balanced,gated,47.97,38.1,12.7,17.07,82.93,12.7,0.7,-0.1,0.0
10,KCAER.IS,ok,764,gradient_boosting,gated,39.79,29.82,15.6,29.84,70.16,15.6,0.7,-0.1,0.0
11,ALARK.IS,ok,2047,logistic_balanced,gated,40.82,31.6,33.7,56.25,43.75,33.7,0.4,0.0,0.0
12,ECZYT.IS,ok,2047,random_forest_balanced,gated,48.24,31.46,10.77,17.38,82.62,10.77,0.4,-0.1,0.0
13,ALTNY.IS,ok,372,gradient_boosting,gated,43.01,35.29,22.22,36.56,63.44,22.22,0.6,-0.1,0.0
14,SDTTR.IS,ok,646,gradient_boosting,gated,42.59,39.06,25.51,39.51,60.49,25.51,0.45,-0.1,0.0
15,ONRYT.IS,ok,364,random_forest_balanced,gated,48.35,48.0,43.64,54.95,45.05,43.64,0.4,0.05,0.0
16,OTKAR.IS,ok,2046,logistic_balanced,gated,46.68,42.11,27.12,37.11,62.89,27.12,0.4,0.05,0.0
17,KCHOL.IS,ok,2047,random_forest_balanced,gated,41.99,37.7,15.86,23.83,76.17,15.86,0.4,0.0,0.0
18,TOASO.IS,ok,2047,logistic_balanced,gated,46.48,47.37,9.61,11.13,88.87,9.61,0.4,0.2,0.15
19,GARAN.IS,ok,2047,gradient_boosting,direct,50.2,36.67,17.25,23.44,76.56,17.25,,,
20,XU100.IS,ok,2025,random_forest_balanced,gated,45.76,45.32,21.43,27.42,72.58,21.43,0.4,0.05,0.0
21,AKBNK.IS,ok,2046,random_forest_balanced,gated,44.34,47.17,8.71,10.35,89.65,8.71,0.4,0.05,0.0
22,NVDA,ok,2017,gradient_boosting,gated,45.74,40.32,8.99,12.28,87.72,8.99,0.4,0.2,0.0
23,INTC,ok,2021,gradient_boosting,gated,50.4,34.21,10.74,15.02,84.98,10.74,0.4,0.15,0.05
24,ENKAI.IS,ok,2045,random_forest_balanced,gated,46.68,31.71,9.77,16.02,83.98,9.77,0.4,-0.1,0.1
25,KOZAY,ok,289,random_forest_balanced,gated,83.56,0.0,0.0,16.44,83.56,0.0,0.4,0.0,0.15
26,MIATK.IS,ok,883,logistic_balanced,direct,45.25,34.46,51.52,66.97,33.03,51.52,,,
27,TABGD.IS,ok,482,random_forest_balanced,gated,43.8,40.91,13.43,18.18,81.82,13.43,0.4,0.1,0.1
28,REEDR.IS,ok,503,gradient_boosting,direct,47.62,42.86,30.43,38.89,61.11,30.43,,,
29,BIMAS.IS,ok,2047,logistic_balanced,direct,40.62,35.69,44.65,66.21,33.79,44.65,,,
30,ASTOR.IS,ok,638,random_forest_balanced,gated,41.25,55.56,5.15,5.62,94.38,5.15,0.55,-0.1,0.0
31,SASA.IS,ok,1964,random_forest_balanced,gated,48.68,32.0,3.24,5.09,94.91,3.24,0.55,-0.1,0.0
32,KONTR.IS,ok,1113,logistic_balanced,direct,45.52,40.38,38.41,55.91,44.09,38.41,,,
33,ISDMR.IS,ok,2044,gradient_boosting,gated,47.95,42.7,14.07,17.42,82.58,14.07,0.4,0.1,0.1
34,PETKM.IS,ok,2044,gradient_boosting,gated,42.47,31.87,10.25,17.81,82.19,10.25,0.4,0.0,0.15
35,MAVI.IS,ok,1823,gradient_boosting,direct,43.2,33.33,20.95,34.87,65.13,20.95,,,
36,EGEEN.IS,ok,2043,random_forest_balanced,gated,49.32,34.06,18.8,27.01,72.99,18.8,0.4,-0.1,0.15
37,IZENR.IS,ok,532,random_forest_balanced,direct,42.86,20.0,13.43,33.83,66.17,13.43,,,
38,OBAMS.IS,ok,409,random_forest_balanced,gated,32.04,25.37,30.36,65.05,34.95,30.36,0.4,-0.1,0.0
39,ISCTR.IS,ok,2043,gradient_boosting,direct,43.25,35.88,16.43,25.64,74.36,16.43,,,
