stockID,symbol,status,samples,bestModel,accuracy,actionPrecision,actionRecall,actionRate,flatRate,directionAccuracyOnRealMoves
1,KONYA.IS,ok,2043,gradient_boosting,48.14,32.94,10.85,16.63,83.37,10.85
2,THYAO.IS,ok,2043,gradient_boosting,44.42,32.86,26.02,41.68,58.32,26.02
3,TUPRS.IS,ok,2043,gradient_boosting,44.81,29.89,9.49,17.03,82.97,9.49
4,EREGL.IS,ok,2048,gradient_boosting,44.34,35.64,24.91,39.45,60.55,24.91
5,SISE.IS,ok,2043,random_forest_balanced,40.51,32.99,35.14,57.53,42.47,35.14
6,ASELS.IS,ok,2047,gradient_boosting,47.46,42.86,21.66,27.34,72.66,21.66
7,FROTO.IS,ok,2048,logistic_balanced,45.51,41.64,49.84,71.29,28.71,49.84
8,KRDMD.IS,ok,2047,gradient_boosting,39.45,37.09,24.53,41.6,58.4,24.53
9,DOFER.IS,ok,489,gradient_boosting,44.72,32.76,30.16,47.15,52.85,30.16
10,KCAER.IS,ok,764,gradient_boosting,30.89,27.74,39.45,81.15,18.85,39.45
11,ALARK.IS,ok,2047,logistic_balanced,34.38,29.79,47.78,84.57,15.43,47.78
12,ECZYT.IS,ok,2047,random_forest_balanced,42.77,29.36,24.62,42.58,57.42,24.62
13,ALTNY.IS,ok,372,logistic_balanced,40.86,32.39,42.59,76.34,23.66,42.59
14,SDTTR.IS,ok,646,gradient_boosting,40.74,36.49,27.55,45.68,54.32,27.55
15,ONRYT.IS,ok,364,random_forest_balanced,50.55,45.21,60.0,80.22,19.78,60.0
16,OTKAR.IS,ok,2046,random_forest_balanced,40.82,36.36,42.03,66.6,33.4,42.03
17,KCHOL.IS,ok,2047,random_forest_balanced,42.19,36.64,29.31,45.31,54.69,29.31
18,TOASO.IS,ok,2047,logistic_balanced,34.77,29.48,36.3,67.58,32.42,36.3
19,GARAN.IS,ok,2047,gradient_boosting,50.2,36.67,17.25,23.44,76.56,17.25
20,XU100.IS,ok,2025,gradient_boosting,44.58,44.39,29.59,38.66,61.34,29.59
21,AKBNK.IS,ok,2046,gradient_boosting,41.8,33.33,14.29,24.02,75.98,14.29
22,NVDA,ok,2017,gradient_boosting,42.77,33.16,23.38,38.81,61.19,23.38
23,INTC,ok,2021,gradient_boosting,47.63,31.9,15.29,22.92,77.08,15.29
24,ENKAI.IS,ok,2045,random_forest_balanced,39.65,28.64,22.93,41.6,58.4,22.93
25,KOZAY,ok,289,random_forest_balanced,83.56,0.0,0.0,16.44,83.56,0.0
26,MIATK.IS,ok,883,logistic_balanced,45.25,34.46,51.52,66.97,33.03,51.52
27,TABGD.IS,ok,482,gradient_boosting,40.5,38.64,25.37,36.36,63.64,25.37
28,REEDR.IS,ok,503,gradient_boosting,47.62,42.86,30.43,38.89,61.11,30.43
29,BIMAS.IS,ok,2047,logistic_balanced,40.62,35.69,44.65,66.21,33.79,44.65
30,ASTOR.IS,ok,638,random_forest_balanced,40.62,39.32,47.42,73.12,26.88,47.42
31,SASA.IS,ok,1964,random_forest_balanced,31.16,27.4,47.37,86.97,13.03,47.37
32,KONTR.IS,ok,1113,logistic_balanced,45.52,40.38,38.41,55.91,44.09,38.41
33,ISDMR.IS,ok,2044,gradient_boosting,47.95,39.88,25.56,33.86,66.14,25.56
34,PETKM.IS,ok,2044,random_forest_balanced,38.16,31.84,40.28,70.06,29.94,40.28
35,MAVI.IS,ok,1823,gradient_boosting,43.2,33.33,20.95,34.87,65.13,20.95
36,EGEEN.IS,ok,2043,gradient_boosting,47.16,30.66,16.8,26.81,73.19,16.8
37,IZENR.IS,ok,532,random_forest_balanced,42.86,20.0,13.43,33.83,66.17,13.43
38,OBAMS.IS,ok,409,random_forest_balanced,29.13,26.25,37.5,77.67,22.33,37.5
39,ISCTR.IS,ok,2043,gradient_boosting,43.25,35.88,16.43,25.64,74.36,16.43
