stockID,symbol,status,samples,testSamples,moveModel,directionModel,moveThreshold,directionThreshold,accuracy,actionPrecision,actionRecall,actionRate,flatRate,directionAccuracyOnRealMoves,movePrecision,moveRecall,movePositiveRate,validationActionPrecision,selectionGap
1,KONYA.IS,ok,1079,269.0,random_forest_balanced,random_forest_balanced,0.6,0.55,44.98,32.35,7.69,12.64,87.36,7.69,55.1,18.88,18.22,100.0,-67.65
2,THYAO.IS,ok,1078,269.0,random_forest_balanced,logistic_balanced,0.65,0.75,47.96,0.0,0.0,0.0,100.0,0.0,66.67,1.43,1.12,100.0,-100.0
3,TUPRS.IS,ok,1082,270.0,random_forest_balanced,random_forest_balanced,0.35,0.75,44.81,50.0,5.96,6.67,93.33,5.96,55.97,99.34,99.26,100.0,-50.0
4,EREGL.IS,ok,1080,270.0,random_forest_balanced,random_forest_balanced,0.7,0.55,35.56,16.67,2.91,11.11,88.89,2.91,73.47,20.93,18.15,75.0,-58.33
5,SISE.IS,ok,1079,269.0,gradient_boosting,gradient_boosting,0.35,0.55,31.23,29.18,43.59,86.62,13.38,43.59,59.38,97.44,95.17,32.82,-3.64
6,ASELS.IS,ok,1080,270.0,gradient_boosting,logistic_balanced,0.35,0.55,45.93,43.14,53.99,75.56,24.44,53.99,64.52,85.89,80.37,32.76,10.38
7,FROTO.IS,ok,1083,270.0,random_forest_balanced,logistic_balanced,0.7,0.5,39.63,11.76,1.28,6.3,93.7,1.28,47.06,5.13,6.3,100.0,-88.24
8,KRDMD.IS,ok,1080,270.0,logistic_balanced,random_forest_balanced,0.35,0.75,33.33,37.5,1.67,2.96,97.04,1.67,65.55,86.67,88.15,100.0,-62.5
9,DOFER.IS,ok,276,69.0,gradient_boosting,gradient_boosting,0.45,0.6,49.28,34.88,50.0,62.32,37.68,50.0,51.11,76.67,65.22,36.84,-1.96
10,KCAER.IS,ok,420,105.0,logistic_balanced,gradient_boosting,0.4,0.55,32.38,24.0,34.62,71.43,28.57,34.62,49.41,80.77,80.95,77.78,-53.78
