StockID,Symbol,Date,ClosePrice,Scenario,ScenarioConfidence,MomentumLongScore,DipReboundScore,DownsideRiskScore,FlatRiskScore,FallingKnifeRisk,ProbDown,ProbFlat,ProbUp,ReasonTags,WarningTags
1,KONYA.IS,2026-05-06,4285.0,NEUTRAL,13.33,26.31,33.85,19.66,67.72,8.26,0.09159672269753139,0.7259521632212906,0.18245111408117815,[],['NO_CLEAR_EDGE']
2,THYAO.IS,2026-05-06,309.75,NEUTRAL,18.82,22.16,30.08,36.02,75.13,30.1,0.1275130232727173,0.4848751920670941,0.38761178466018853,[],['HIGH_FLAT_RISK']
3,TUPRS.IS,2026-05-06,271.0,NEUTRAL,33.63,41.83,41.02,13.41,38.08,9.7,0.23536789929765067,0.3828544287355066,0.38177767196684265,[],['NO_CLEAR_EDGE']
4,EREGL.IS,2026-05-06,37.68,NEUTRAL,50.77,54.23,33.31,0.58,30.05,0.0,0.11025180467818992,0.5779542085647535,0.3117939867570565,[],['NO_CLEAR_EDGE']
5,SISE.IS,2026-05-06,49.62,MOMENTUM_LONG,58.47,60.5,15.99,24.15,36.45,34.15,0.10202577079792206,0.48949481473273726,0.40847941446934055,"['BREAKOUT_PRESSURE', 'POSITIVE_MOMENTUM', 'UP_PROBABILITY_SUPPORT']",['HIGH_VOLUME_WEAK_CLOSE']
6,ASELS.IS,2026-05-06,434.0,MOMENTUM_LONG,60.35,58.98,17.12,10.62,30.81,17.1,0.08089259673350983,0.4909957395478862,0.42811166371860393,"['BREAKOUT_PRESSURE', 'POSITIVE_MOMENTUM', 'RELATIVE_STRENGTH', 'UP_PROBABILITY_SUPPORT']",[]
7,FROTO.IS,2026-05-06,99.0,DIP_REBOUND_WATCH,55.6,17.35,60.8,38.86,48.34,21.83,0.1776406932708967,0.30973607301932843,0.5126232337097748,"['CONTROLLED_VOLATILITY', 'LOWER_WICK_SUPPORT', 'LOW_RANGE_POSITION', 'RECOVERY_CLOSE']",[]
8,KRDMD.IS,2026-05-06,39.9,NEUTRAL,47.79,48.95,30.8,7.3,31.24,8.86,0.1345282647650207,0.4516156285113655,0.41385610672361384,[],['NO_CLEAR_EDGE']
9,DOFER.IS,2026-05-06,33.72,NEUTRAL,31.14,13.22,35.53,39.42,68.78,34.28,0.11888236783939041,0.31090126334316903,0.5702163688174405,[],['NO_CLEAR_EDGE']
10,KCAER.IS,2026-05-06,12.46,NEUTRAL,55.95,57.7,15.54,20.35,38.41,27.75,0.13199372058118894,0.4019749385609109,0.4660313408579001,"['BREAKOUT_PRESSURE', 'POSITIVE_MOMENTUM', 'UP_PROBABILITY_SUPPORT']",['NO_CLEAR_EDGE']
11,ALARK.IS,2026-05-06,100.3,NEUTRAL,23.82,36.07,37.44,21.29,55.06,12.71,0.09016829354171281,0.6580007686964927,0.2518309377617946,[],['NO_CLEAR_EDGE']
